1,2021年11月01日,WHISKEY,4
1,2021年11月01日,RAM,11
1,2021年11月01日,KEEL,6
2,2021年11月01日,BOURBON,8
2,2021年11月01日,JIN,3
2,2021年11月01日,TEQUILA,8
2,2021年11月01日,KEEL,4
2,2021年11月01日,KEEL,17
2,2021年11月01日,WHISKEY,12
2,2021年11月01日,JIN,7
2,2021年11月01日,KEEL,18
3,2021年11月01日,WHISKEY,10
3,2021年11月01日,BEER,8
3,2021年11月01日,JIN,7
3,2021年11月01日,WINE,20
3,2021年11月01日,RAM,12
3,2021年11月01日,JIN,17
3,2021年11月01日,WHISKEY,5
3,2021年11月01日,RAM,2
3,2021年11月01日,KEEL,14
3,2021年11月01日,BOURBON,4
4,2021年11月01日,RAM,20
4,2021年11月01日,RAM,2
5,2021年11月01日,BRANDY,20
5,2021年11月01日,WINE,20
5,2021年11月01日,JIN,17
5,2021年11月01日,BRANDY,14
5,2021年11月01日,BEER,10
5,2021年11月01日,RAM,5
6,2021年11月01日,WHISKEY,10
6,2021年11月01日,WINE,1
6,2021年11月01日,TEQUILA,6
